Name,Address,Phone Number,Description,Category
,"36 Oworo Road, Kosofe, Lagos","08102181506,08144857922",Blaireson Digitech software developers are experts in software development for diverse industries that use innovative and reliable solutions for business.,computer services
,"19 Olorunfunmi Street, Oworonshoki Kosofe, Lagos","07085762998,08188442044",BrainTech Computer Solution render computer hardware repair services.,computer services
,"45 Demurin Street, Ketu Kosofe, Lagos","08074003876,08029756882","Elman Computers render computer Sales, Repairs, and Maintenance services.",computer services
,"33 Agidi Road, Kosofe, Lagos",08045610341,Gbade Computer Engineering offer a wide range of services from simple PC troubleshooting to complete computer repair.,computer services
,"13 Nathaniel Osagie Street, Kosofe, Lagos",08025919803,Lightspeed Technologies designs and builds websites for clients large and small. We are a web development company that offers services in website development and online marketing.,computer services
,"33 Jimoh Balogun Street, Ikosi Ketu Kosofe, Lagos","08056578941,07036310077",Sonnie Computers And Communications offer computer accessories sales and computer repair services.,computer services
,"2 Daramola Close, Alapere-Ketu Kosofe, Lagos",08026351764,Toblus Concept is a computer servicing and repair center.,computer services
,"6 Atanda Alonge Street, Oworonsoki Kosofe, Lagos","08122998550,08090529833,08127261707","Gulf Flower Schools is a top class learning center for your nursery, primary and secondary education.",educational services
,"1/3 Ibadan Street Iyana School B/stop, Alapere Ketu Kosofe, Lagos","08035530048,08023225797","Jextoban Secondary School is a Private Day and Boarding School with well equipped facilities Like Science lab, Computer Studies.",educational services
,"25 Phillips Onashile Street, Kosofe, Lagos","08088649369,07069767172","Brainsmith Academy provides a range of educational services for children. We are a school providing academic, recreational, and enrichment activities for children in a variety of settings.",educational services
,"8 Alhaja Abass Street, Kosofe, Lagos",07069079638,"Flourishing Kids is the premier school in Kosofe, specializing in teaching everything from the basics to the most advanced topics. Our unique curriculum is tailored for the individual child, delivering a personalized education.",educational services
,"17 Sanuajwe Street, Alapere-Ketu Kosofe, Lagos",08033002660,Micmary School is the perfect place to nurture your growing kids with the proper child development strategies.,educational services
,"Abudu Street, Kosofe, Lagos",08059522376,"RJB Xclusive Edu Consult provides educational and career consulting for students, parents, and professionals. Working with these professionals, we offer career and educational services and resources.",educational services
,"6 Oladejo Street, Barracks B/Stop, Ifako Gbagada Kosofe, Lagos",08033001762,"Sunjem Education Centre provides a perfect environment for nursery, primary and secondary educational services.",educational services
,"17, Irepodun Street, Kosofe, Lagos",08171976356,"Equitable Light is a leading electrical installation company that provides residential, commercial, and industrial electrical services to homes, businesses, and organizations.",electrical services
,"17 Adeshino Street, Ojota Kosofe, Lagos",08029321884,Monday Electronics specialize in electrical wiring and installation services.,electrical services
,"25 Elebiju Street, Alapere-Ketu Kosofe, Lagos",08029401023,Olanrewaju Electrical Stores sell electrical accessories and render electronics repair services.,electrical services
,"14 Iyabode Kadiri Street, Ikosi Isheri Kosofe, Lagos","08032050352,08028519580",Sealolite Electrical And Technical Services is an electrical repairs workshop.,electrical services
,"1 Alaba Street, Kosofe, Lagos",08147347351,Shy Cresthas been providing electrical engineering services to domestic and international clients.,electrical services
,"11 Ojileru Cresent, Oworo Kosofe, Lagos","08031313633,08026588045",Success Electrician render electrical repair services and household electronics installation.,electrical services
,"51 Agidi Road, Kosofe, Lagos",08065863760,Sunny Electrical specializes in electrical services. We are a full service electrical contractor that can handle any job your home or business needs for both commercial and residential use.,electrical services
,"117 Ogudu Road, Kosofe, Lagos",07034907189,"Paddy clothing is a luxury fashion accessories store for men. We have clothing, shoes, watches and leather goods for men that are unique and well made.",fashion boutiques
,"52 Ikosi Road, Kosofe, Lagos",08100165285,"Abby Boutique Venture sell Casual wears, Unisex Jeans, Unisex Suits, Unisex hats and other clothing accessories.",fashion boutiques
,"Shop 44 Powa Complex, Beside Police Station Area H, Kosofe, Lagos",09020600049,Cutiepie by Luxury provides a variety of high-end clothing and accessories for women of all ages.,fashion boutiques
,"23 Demurin Street, Kosofe, Lagos",08032978763,"Jnucollections Unisex Boutique is a boutique selling trendy women's and men's clothing, handbags, shoes and accessories.",fashion boutiques
,"1A Lanre Awolokun Street, Gbagada Estate Phase 2, Kosofe, Lagos",08028786700,Max Woman is a female fashion boutique for your latest female designer wears and shoes.,fashion boutiques
,"8 Adedoyin Street, Ketu Kosofe, Lagos",07037501915,"Miracle Unisex Boutique is a clothing boutique selling male and female corporate wears, shirts, designers t-shirts.",fashion boutiques
,"19 Ajibola Street, Alapere-Ketu Kosofe, Lagos","08062966480,08085295401",Sassy Wears is a fashion boutique fully stocked with designer wears and shoes.,fashion boutiques
,"9 Tony Omoregie Street, Kosofe, Lagos",08129287445,Sebma Outfitters sells a wide range of women's clothing and footwear. We offer the latest trends and designs to ensure that you look and feel good.,fashion boutiques
,"Shops A7 & A8, Rice Section, Mile 12 Market, Mile 12 Kosofe, Lagos","08150654733,08191429305,017317755",Addosser Microfinance Bank Limited provides various financial services like loans and savings for small and big businesses.,financial services
,"14 Owodunnu Street, Ikosi Kosofe, Lagos",08069482168,"Ejiwunmi Finance Savings Services is located in Ikosi, Kosofe.",financial services
,"173 Ogudu Road, Kosofe, Lagos","08039286522,08087649172",Hillcrest Professional Services is a leading accounting firm that offers personal and business accounting services for individuals and businesses.,financial services
,"16 Diya Street, Ifako Gbagada Kosofe, Lagos","017612016,017925700","Spring Mortgage Plc is a Nigerian based Primary Mortgage Institution (PMI), with competence in Mortgage Creation, Property Trading, and Property Management.",financial services
,"65 Ore Ofe Street, Mile 12 Kosofe, Lagos","08124532322,08072685533",Virile Consulting Associates offer Financial Advisory and Tax Consultancy services.,financial services
,"20 Adeyiga Street, Cele Ikosi, Isheri Ketu Kosofe, Lagos",08055849473,"Chief Cook Catering Service provide catering services for events like birthdays, weddings and burials.",food services
,"7 Sebastian Street, Shangisha, Magodo Kosofe, Lagos",07062620609,"Huge Finger Foods deals in all kind of finger food produce(small chops), drinks and cocktails, Smoothies as well as Catering services for any kind of events(indoor and outdoor).",food services
,"Adedoyin Street, Kosofe, Lagos",08026626882,Jessimint Catering Services is the leading catering services in the area. We offer a variety of services to fit your needs and budget.,food services
,"24 Alh. Eleshin Street, Kosofe, Lagos",08136105172,Macole Catering Services is a family-owned and operated company that offers a wide range of catering services. We are committed to providing the best quality service at the most affordable rates.,food services
,"8 Adeyiga Odunukan Close, Kosofe, Lagos",07033851633,"Pat Catering is the premier caterer in Kosofe. With a wide range of catering options and an expansive menu, Pat is the top choice for your next event.",food services
,"13 Deji Olamiji, Gbagada Kosofe, Lagos","08091560927,08023157707",Rehoboth Delicious is cool restaurant serving well prepared Nigerian meals like Egusi soup and Fufu.,food services
,"5 Samuel Ajayi Street, Magodo G.R.A Kosofe, Lagos",08077367023,Selim Catering Service specialize on event catering and office lunch delivery services.,food services
,"11 Olatunji lawal close, off bakare street alapere, Agboyi-Ketu Kosofe, Lagos",08033805584,"Shakey's Bakery specialize in making pastries like hotdogs, cakes, burgers, pancakes, waffles, popcorn, candy floss, ice cream, chocolate fountain and also cater for birthdays.",food services
,"22 CMD Road, Magodo-Shangisha Kosofe, Lagos","08037194634,07031189207","21st Century Pharmacy & Health Shop specialize in comprehensive holistic health care using natural medicines, Innovative & Science based supplements, Superfoods, Glandular Therapy, Ayurvedic and Oriental medicines",health services
,"3 Femi Aderibigbe Close, Ifako Gbagada Kosofe, Lagos","08023140773,08052246001",Aniyun Hospital Limited provide healthcare and medical services.,health services
,"7B Mabinuori Dawodu Street, Kosofe, Lagos",08123170260,"Day Dental Specialist Clinic provides a variety of dental services including emergency dental care, orthodontics, braces, and more.",health services
,"503 Ikorodu-Ososun Road, Kosofe, Lagos",08038006962,"Emti Medical Laboratories is a full-service medical laboratory providing blood, urine, and other tests for patients and physicians.",health services
,"95 Ogudu Road, Ojota Kosofe, Lagos","07025157998,08037339477","Ocuville Eye Center is an eye clinic rendering Comprehensive eye examinations, contact lenses for visual impairment.",health services
,"13 Fadiya Street, Kosofe, Lagos",08033023107,"Rally Hospital is a health care facility that offers a range of services including obesity treatment, bariatric surgery, and diabetes care.",health services
,"23 Oluyombo Street, Ketu Kosofe, Lagos","08033982292,08023049291","Yombo Hospital And Marternity Home render antenatal services and child delivery services and is located in Ketu, Kosofe.",health services
,"Ololade Odeyemi Close, Kosofe, Lagos",08032018125,Doyen Stores is your source for quality bedding products at an affordable price.,home and living
,"14/16 Akinboro Street, Agiliti, Mile 12 Kosofe, Lagos","08027381173,017418897","Foy Furniture is a furniture store selling furniture works like wardrobe, school furniture, kitchen cabinet and other home furnitures.",home and living
,"14 Gregory Arueya Street, Kosofe, Lagos","09092248737,08167702812","Hilma Interiors render services on Interior Finishing, home Interior Decoration and wall art decoration.",home and living
,"14, Gregory Arueya Street, Kosofe, Lagos",08164550668,"Oaken Beddings is a family-owned bedding store that has been selling luxury bedding products like bedspreads, duvets to blanket.",home and living
,"99 Oworo Road, Oworonshoki Kosofe, Lagos","08089728390,07044275692",Olaiya Enterprises And Furniture offer furniture works and repairs.,home and living
,"7 Ireko Street, Oworonshoki Kosofe, Lagos",07087996641,"Onyekachi Furnitures manufacture, design and supply home and office furnitures.",home and living
,"Plot 56 Gbagada Industrial Layout, Gbagada Kosofe, Lagos","08121593000,08038202533",Skymode Interiors specialize on Furniture Making and household Interior Decoration.,home and living
,"20 Jumat Olukoya Street, Kosofe, Lagos",09091740074,"Tenumar Beddings is a bedding store that provides high quality bedding products at affordable prices. We offer luxury bedding in every size, color and style to suit your home.",home and living
,"11 Olatunji Close, Off Bakare Street, Alapere, Ketu Kosofe Lagos","08056568640,08033805594","Highway Lodge Guesthouse is located in Kosofe, Lagos and offers satisfactory services in accommodation, food, lounge, bar, hotel facilities and management.",hotels
,"11/13, Oludele Fakunle Street, Ifako Gbagada, Kosofe Lagos",08033147453,"Jonsland Castle offers services such as 24-hour room and kitchen service, a comfortable lounge for relaxation and free high-speed WIFI Internet access.",hotels
,"5, Gbala Street, Soluyi, Gbagada Kosofe Lagos",08068388383,"Milliondollars Imperial Hotel offers services in accommodation, conferencing, catering, restaurant, bar, fitness facilities and swimming pool",hotels
,"6, Emmanuel High Street, Off Ogudu Road, Ogudu GRA, Kosofe Lagos","08074703736,07068963360,08027338533","Ree-Danielles Hotel & Suite offers services in accommodation, gym, event center, restaurant and bars, Fast internet access, 24 Hours uninterrupted power supply and is located in Kosofe, Lagos.",hotels
,"1, Oniyesi Street, Kosofe, Lagos",07043290684,"Roseway Hotel is a hospitality center offering services in bar, conference room, banquet hall, cybercafe, gym, car hire, laundry and accommodation,",hotels
,"1, Faramobi Ajike, Anthony Village, Kosofe Lagos","08023162173,08034136246","Clement Onwuenwunor and Comapany is a law firm of professional lawyers offering services in immigration, civil litigation, family law and criminal defense.",lawyers
,"1, Festus Keyamo Lane, Anthony Village, Kosofe Lagos","08033371229,08157365097,08033723121","Festus Keyamo Chambers is a legal practitioners rendering legal services in human right advocacy, corporate practice and general litigation",lawyers
,"6, Ogun Shola Street, 1st Floor, Ikosi Ketu, Kosofe Lagos","08022277117,08033896771","Helen Lanre Ajayi and Company offers services in intellectual property, prosecution and defense of criminal suspects, litigation and lots more.",lawyers
,"56 Victoria Street, Ojota, Kosofe Lagos",08037144167,"Tobalesi & Co Solicitors is a firm of professional solicitors offering services in legal consultancy, litigation and criminal dispute.",lawyers
,"8b Oduduwa Street, Kosofe, Lagos",08064485210,Treasured Law Firm provides high-quality legal services to individuals and small businesses in Kosofe.,lawyers
,"501 Ikorodu Road, Ketu Shopping Complex, Suite 38-39, Ketu, Kosofe Lagos",08037182344,"Uzornduka and Company renders legal services in maritime and commercial Law, litigation and criminal law and is located in Kosofe, Lagos.",lawyers
,"Goshen Land Plaza, Shop 32 His Majesty, Julius Berger Road, Kosofe, Lagos",08067395458,Aking Phones offers various types of phones and accessories such as mobile phone cases and mobile phone covers.,phone and accessories
,"1B Olakunle Ajibade Street, Ogudu Road, Ogudu Kosofe, Lagos","08060963475,08021160252",Bodmastech specialize on mobile phone repairs and phone accessories.,phone and accessories
,"6a Segun Kujore Street, Off C M D Road, Kosofe, Lagos",09075002444,Jacktech Innovations is a phone accessories store that is constantly on the lookout for unique phone accessories. Every day we bring you new products that range from cases to chargers to headphones.,phone and accessories
,"4 Osofa Street, Oworonshoki, Kosofe Lagos","08027568895,08130868606","Makanaky Phone Repairs is a phone repair center for your Samsung, Nokia and blackberry smartphone repairs and accessories.",phone and accessories
,"18 Oduntan Street, Ketu Kosofe, Lagos","07063831502,08098725894","Success Communication sell various phone accessories like Mobile Phone Charger, ear phones, Phone Case, Mobile Phones and also render phone repair services.",phone and accessories
,"16b Association Close, Ogudu Kosofe, Lagos",08066940723,Adebayo Estate Surveyors offer real estate development and management services.,real estate
,"19/21 Elebijo Street, Alapere-Ketu Kosofe, Lagos",08032305580,"Afotamodi Property And Company specialize property management, valuation and development.",real estate
,"4 Major Adesanya Street, Kosofe, Lagos",09090516678,Cravy Homes is a real estate agency with a focus on helping people buy and sell homes. We help you buy and sell your home with at a reasonable price.,real estate
,"23, Kosofe Plaza, Kosofe, Lagos",08181176331,Hillman Properties Limited is a leading property agency in Kosofe with a wide range of property for sale and letting.,real estate
,"Suite 12/B Oadis Plaza, Ikosi Ketu Kosofe, Lagos",08089198410,Landmark Corporate Realty Limited is a real estate management agency.,real estate
,"8 Alhaji Opeodu Street, Kosofe, Lagos",08108128380,"Olowo Properties is a real estate agency, offering services such as property and apartment rentals and sales and more.",real estate
,"1A Dapo Awolesi Street, Magodo GRA, Phase 2, Shangisha Kosofe, Lagos","08032074359,08024276367,013426840",Propertymart Real Estate Investment Limited provide services on mortgage Advice Consultancy and Property development.,real estate
,"10 Diya Street, Gbagada Kosofe, Lagos","08129190315,08072292381,08072292383","Chogon Guards and Safety Ltd provide Manned Guard Services, Events Security and Crowd Control, Protocol / VIP Escort, Risk Management and Consultancy, Electronics Security, Fire Safety installation and Maintenance",security services
,"554-556 Ikorodu Road, Ketu Kosofe, Lagos","08033282900,08025771248",Dominion Guards is a security service company providing security personnel or guards for security purposes.,security services
,"Block10 Odua Complex, 384 Ikorodu Road, Ojota Kosofe, Lagos","08023019233,08030671310",Fastrack Security And Safety Limited provide security gadgets and offer security consultancy.,security services
,"50 Alakuko Road, Akera Kosofe, Lagos","08083200248,07065512523",Rightchioice Security Service Company Limited render security equipment sales and services.,security services
,"2, Adamson Street, Kosofe, Lagos",08060074737,Okwitex is a logistics company that provides the best logistics services at the most affordable prices.,transportation
,"15 Akin Tijani Street, Magodo G.R.A Kosofe, Lagos","08033268412,08158191215",Pegason Transport Limited provide transportation services.,transportation
,"1 Oladele Street, Ketu Kosofe, Lagos","08055263796,08096575814",Semmtrans Nigeria Enterprises guarantees safe and comfortable trips across the Nigeria.,transportation
,"81 Agidi Road, Kosofe, Lagos",08059944347,T Success Transport is a transport company render inter state travel services.,transportation
,"Plot 36 Block 66 Kayode Taiwo Street, Magodo Kosofe, Lagos",07039397680,TDD Transport Services offers Inter State Transportation services.,transportation
